,Name,category,country,num_episodes,aired,watchers,rating,num_raters,cast_names,genre_names,tag_names,synopsis,url,sid,num_reviews
1139,reverse,Drama,Japan,10.0,2017,1843,7.8,601,"Fujiwara Tatsuya,Toda Erika,Tamamori Yuta,Koike Teppei,Miura Takahiro,Ichihara Hayato","Thriller,Mystery,Psychological "," Adapted From A Novel,Investigation,Detective,Suspense,Harassment,Death Of A Friend,Extramarital Affair,Flashback To Past,Workplace Abuse,Stalking  ","Salaryman Fukase Kazuhisa graduated from a famous university but his life is very ordinary and unremarkable. His only hobby  if it can be called that  is drinking coffee. Coffee, in fact, leads him to Mihoko Ochi, who becomes his girlfriend. Then one day, Mihoko receives a mysterious letter which consists of a single line, Kazuhisa Fukase is a murderer. Fukases instinct tells him that the time has finally come to face that incident 10 years ago. One winter 10 years ago, his good friend Hirosawa Yuki died in an unfortunate accident during a snowboarding trip with his university classmates Tanihara Yasuo, Asami Kosuke , Murai Takaaki and Murais younger sister Asuka. However, there is a big secret hidden in that accident. Letters are also sent to Tanihara, Tanihara and Murai who also share in this secret, and even they are hit by a series of incidents. Fukase decides to confront the truth of the past in order to protect the people dear to him.

~~ Adapted from the novel Reverse by Minato Kanae.",https://i.mydramalist.com/Wlg6l_4c.jpg?v=1,16331.0,245.0
1140,moonshine and valentine,Drama,China,25.0,2018,13604,7.8,5955,"Johnny Huang,Victoria Song,Leo Li,Li Shen,A-Joe Jiang,Baby Zhang","Romance,Drama,Fantasy,Supernatural "," Reincarnation,Reincarnated Lovers,Alien,Male Chases Female First,Interspecies Romance,Fate,Fox,Blindness,Lovers Separated,Star Crossed Lovers  ","Guan Pi Pi is an amateur reporter. In spite of being beautiful and kind, she often finds herself alone in the world. Because of that, Guan Pi Pi feels abandoned and hopeless. What she doesnt realize is that she has been marked with an ancient curse that has been the cause of all of the misfortune in her life. 
He Lan Jing Ting is the Jade Master, a secretive cultural relic specialist whose face remains unseen to the public eye. He Lan Jing Ting is practically alien to people, but no one knows just how true that statement is--The Jade Master is actually a deity from another realm. 
When He Lan Jing Ting meets Guan Pi Pi, he becomes convinced that he can make her believe in love again. But for a man who lives his life in solitude, it might be tough to save a woman suffering from a supernatural, millennia-old curse.",https://i.mydramalist.com/AYy13c.jpg?v=1,18359.0,2509.0
1141,fah mee tawan,Drama,Thailand,18.0,2020,1949,7.8,823,"Donut Phattharapon Dejpongwaranon,Prapye Ramida Theerapat,Nam Rapeepat Eakpankul,Aun Akrabhaj Bunnag,Jayda Saranya Chunhasart,Jeab Pijittra Siriwetchapan","Action,Business,Romance,Family "," Weak Female Lead,Evil Stepmother,Revenge,Power Struggle,Double Identity,Father-Son Relationship,Slow Burn Romance,Adapted From A Novel,Office Romance,Multiple Couples  ","A story follows a young businessman, Paul who plans to get back Crown Diamond, the company once owned by his mother. He is determined to take revenge and retrieve everything from the father who abandoned him and his mother to live with his new wife Netselao and the adopted daughter Nainapha , who took the love from his father. He charmed his stepmother's trust only to find out that all the bad things in the family were caused by her and her lover Singkorn and Nainapha was just a victim, just like him. So he empathizes and secretly helps her until intimacy transforms into love. The plan to pull out the mask of the stepmother goes on with the love at stake.",https://i.mydramalist.com/BDVR5_4c.jpg?v=1,32880.0,454.0
1142,kakegurui,Drama,Japan,10.0,2018,5483,7.8,2741,"Hamabe Minami,Takasugi Mahiro,Morikawa  Aoi,Nakagawa Taishi,Yamoto Yuma,Mito Natsume","Psychological,School,Youth "," Gambling,Adapted From A Manga,Friendship,Debt,Violence,Blood,School Bullying,Lesbian Character,School Politics,Smart Female Lead  ","Children from influential families in politics and businesses attend the Hyakkaou Private Academy. There, the hierarchy of the students is classified by a series of games. Students that win the games are on the ruling side and the students who lose become slaves. One day, a mysterious girl, Jabami Yumeko is transferred to Hyakkaou Private Academy. She looks pure and pretty, but she is actually a compulsive gambler and seeks out the thrill of taking calculated risks.",https://i.mydramalist.com/ERyLW_4c.jpg?v=1,19421.0,652.0
1143,kono koi atatamemasu ka,Drama,Japan,10.0,2020,2131,7.8,910,"Mori Nana,Nakamura Tomoya,Nakano Taiga,Ishibashi Shizuka,Iizuka Satoshi,Furukawa Kotone","Food,Business,Romance,Drama "," Older Man/Younger Woman,Boss-Employee Relationship,Age Gap,Food Industry,Dessert,Hardworking Female Lead,Food Blogger,Food Critic,Baker,Workplace Romance  ","Kiki Inoue works part-time at a convenience store, spending the better part of her day lazing about or reviewing sweets on her social media account. One day at work, she is introduced to the chains CEO, Takumi Asaba, who, as it turns out, is familiar with Inoues online reviews. Asaba asks Inoue to develop new desserts to sell chain-wide.  
As CEO, Asaba is tasked with turning around the chains fortunes, as it is now ranked the lowest among its competitors. Close collaboration leads Inoue and Asaba to become sweet on each other.",https://i.mydramalist.com/6NZjg_4c.jpg?v=1,35576.0,486.0
1144,bg: personal bodyguard,Drama,Japan,9.0,2018,2168,7.8,964,"Kimura Takuya,Eguchi Yosuke,Saitoh Takumi,Nanao,Kamikawa Takaya,Mamiya Shotaro","Action,Thriller,Drama "," Bodyguard,Teamwork,Nice Male Lead,Politics,Boss-Employee Relationship,Smart Male Lead,Single Father,Father-Son Relationship,Lying,Mature Male Lead  ","Shimazaki Akira lives with his middle school student son. He used to work as a bodyguard, but, due to an incident, he now works as a security guard at a construction site. The private security company where he works establishes a new bodyguard division. Hiding his past as a bodyguard, Akira Shimazaki begins work as a novice bodyguard.",https://i.mydramalist.com/mkJw0c.jpg?v=1,19120.0,432.0
1145,ban shu legend,Drama,China,42.0,2015,1707,7.8,383,"Jing Tian,Zhang Zhe Han,Fu Xin Bo,Li Jia Hang,Deng Sha,Lee Hsin Ai","Historical,Comedy,Romance,Drama,Political "," Han Dynasty,Smart Female Lead,Strong Female Lead,Love Triangle  ","Produced by Yu Zheng and written by screenwriter Zhang Wei, this is the counterpart to his previous popular series Female Prime Minister. The story tells of the niece of the first female prime minister Ban Zhao. The titular Ban Shu earns her way up to become a  teacher at the Royal Female Academy formed by the Empress Deng Wei. However, her job in the court becomes much harder when conspiracies begin to take place, as a result she decides to leave the court to spread the Han culture.",https://i.mydramalist.com/lWyXec.jpg?v=1,9507.0,173.0
1146,cheewit puer kah huajai puer tur,Drama,Thailand,18.0,2017,1996,7.8,628,"Jes Jespipat Tilapornputt,Mo Monchanok Saengchaipiangpen,Ak Akarat Nimitchai,Captain Phutanate Hongmanop,Willie Ruengrit  McIntosh,Kradum Thanayong Wongtrakul","Action,Romance,Melodrama "," Skilled Killer,Star Crossed Lovers,Nice Female Lead,Gun Fight,Male Lead Saves Female Lead,Hidden Identity,Murder,Gun Violence,Drug Lord,Power Struggle  ","Wayu is a trained assassin who falls in the love with Pavarin, the daughter of a rich business man who is also an underground drug lord. Orphaned at a young age and trained to be a hit-man with no attachments, his heart and life is put to the test when a girl with a bright smile melts his stone-cold heart. With underground drug cartels fighting turf wars and the police hot on the case, can their love stand the test and can they make it out alive to the end?",https://i.mydramalist.com/o74ANc.jpg?v=1,14122.0,380.0
1147,shinbun kisha,Drama,Japan,6.0,2022,1069,7.8,401,"Yonekura Ryoko,Ayano Go,Yokohama Ryusei,Yoshioka Hidetaka,Terajima Shinobu,Yusuke Santamaria","Thriller,Drama,Political "," Corruption,Suspense,Journalist Female Lead,Government Cover-up,Reporter,Miniseries  ",Matsuda Anna is a dedicated journalist who doggedly pursues the truth about a government corruption scandal even as powerful enemies seek to neutralize her reporting.,https://i.mydramalist.com/Xo0dZ_4c.jpg?v=1,35915.0,253.0
1148,sketch,Drama,South Korea,16.0,2018,6195,7.8,1934,"Rain,Lee Sun Bin,Lee Dong Gun,Jung Jin Young,Kang Shin Il,Lee Seung Joo","Action,Thriller,Mystery,Supernatural "," Police Department,Teamwork,Strong Male Lead,Premonition,Fight,Death,Precognition,Sibling,Strong Female Lead,Revenge  ","Nabi Project Team is a small-scale secret group secretly operated by the National Police Agency. The group is named after the Hebrew/Arabic word Nabi, meaning Prophet, because they attempt to solve cases by utilizing the skills of Yoo Shi Hyun, who has the ability to sketch drawings of future crime scenes. During a criminal take-down, enthusiastic detective Kang Dong Soo comes across Shi Hyuns sketchbook, which includes a prediction of his fiancée Min Ji Soos imminent death. His resulting choices indirectly causes multiple disasters, and in the process, an unusually motivated killer is born.  As Nabi Project Team pursues him, they encounter an even larger presence behind him pulling the strings.",https://i.mydramalist.com/q23QPc.jpg?v=1,19748.0,1138.0
1149,my love eun dong,Drama,South Korea,16.0,2015,11227,7.8,4539,"Joo Jin Mo,Kim Sa Rang,Kim Yoo Ri,Kim Tae Hoon,Baek Sung Hyun,Yoon So Hee","Romance,Life,Drama "," First Love,Amnesia,Celebrity,Love Triangle,Childhood Friends,Obsession,Orphan Female Lead,Meet Again,Time Skip,Second Chance Romance  ","We were together for too short and separated for too long. Eun Ho is an A-list South Korean actor, and for 20 years, he is searching for his first love, Eun Dong. They were teenagers when they first met, and after a brief friendship, she disappeared. Ten years later, they miraculously run into each other and start dating, but one day, Eun Dong doesn't return to meet Eun Ho as planned. Another ten years pass, and when Eun Ho is a famous star, he decides to publish a book about his love story to find Eun Dong. Meanwhile, Eun Dong becomes a writer and is living with a new name ever since she lost her memories due to the tragic accident that kept her from returning to Eun Ho. Through a mutual friend, she is hired to ghostwrite Eun Ho's book! During the process, she begins to uncover secrets that unravel the life she knows.",https://i.mydramalist.com/B70Qbc.jpg?v=1,11343.0,1954.0
1150,flower crew: joseon marriage agency,Drama,South Korea,16.0,2019,11709,7.8,3881,"Kim Min Jae,Gong Seung Yeon,Seo Ji Hoon,Park Ji Hoon,Byeon Woo Seok,Go Won Hee","Historical,Comedy,Romance "," Joseon Dynasty,Marriage Proposal,Love Triangle,Orphan Female Lead,Strong Female Lead,Tragic Past,Multiple Mains,Hot-tempered Female Lead,Cheerful Female Lead,Flashback To Past  ","Growing up an ordinary country blacksmith, Lee Soo had no idea he would ever rule all of Joseon; but, at the age of twenty-three, thats exactly what happened. Now as king, Lee Soo is finding it hard to adapt to the restrictions of palace life, especially where matters of the heart are concerned. Having loved Gae Ddong for as long as he can remember, he always thought she would be the one he would someday marry; but now, as king, that dream has become nothing short of impossible. As a commoner, Lee Soo has no chance of making Gae Ddong his bride but that doesnt stop him from trying. Hiring the best matchmaking agency in Joseon, Lee Soo asks the talented Flower Crew to transform his first love into a noblewoman. Accepting the kings request, Ma Hoon, Do Joon, and Go Young Soo take Gae Ddong into their care. Theres just one problem, transformations like this arent easy and theres a lot of work to do! Risking their lives to help the king, can the Flower Crew help Gae Ddong blossom into a beautiful noble flower or will this job prove to be impossible?",https://i.mydramalist.com/xQEdXc.jpg?v=1,24908.0,1972.0
1151,tiger cubs,Drama,Hong Kong,13.0,2012,939,7.8,418,"Oscar Leung,Joe Ma,Jessica Hsuan,Savio Tsang,Mandy Wong,Him Law","Action,Crime,Drama "," Robbery,Brothers,Bromance  ","Serving on the Special Duties Unit (SDU) for many years, ""devil"" instructor Jin Hon Tou is seen as a hero in the hearts of his subordinates. His style is strict, serious and has high expectations on his subordinates, especially the two new SDU members You Hok Lai and Yau Chun Hin. 

However when he's off-duty, Hon Tou is actually a very caring big brother. Hon Tou thinks of Chong Cheuk Yun as his best partner at work and a good brother, but to his surprise, his girlfriend Ding Wai Wai falls in love with the optimistic Cheuk Yun and wants to break up with him. To maintain the brotherhood, Cheuk Yun asked his colleague So Man Keung to pretend to be his girlfriend, which begins a mess in the relationships. 

Meanwhile, the police were informed that the king of thieves To Tin Yue is planning a large-scale robbery of the treasury. Hon Tou and OCTB inspector Chong Cheuk Wah jointly sets up an operation to capture Tin Yue. Cheuk Wah is Cheuk Yun's elder sister and has a snobby personality. She only cares about her work day and night because she cannot forget the pain of her boyfriend's murder. As Hon Tou gets to know Cheuk Wah, he slowly realizes that he and Cheuk Wah are actually similar people, and his feelings starts growing..",https://i.mydramalist.com/nOnrLc.jpg?v=1,3858.0,98.0
1152,hello mr. gu,Drama,China,30.0,2021,12635,7.8,5904,"Chen Jing Ke,Yan Zhi Chao,Guo Yun Qi,Zhu Dan Ni,Xin Rui Qi,Ding Jia Wen","Comedy,Romance,Drama "," Marriage Of Convenience,Pretend Relationship,Contract Relationship,Rich Male Lead,Phobia,Cohabitation,Cold Male Lead,Company President (CEO),Comic Industry,Supportive Mother-in-Law  ","A CEO with an aversion to crowds enters a contractual marriage with an impoverished  heiress. With opposing personalities, they initially butt heads, only to become one anothers confidants over time. These imperfect souls help each other heal as they fall in love.",https://i.mydramalist.com/jw1EJ_4c.jpg?v=1,30805.0,2196.0
1153,shiroi haru,Drama,Japan,11.0,2009,1234,7.8,453,"Abe Hiroshi,Ohashi Nozomi,Shiraishi Miho,Endo Kenichi,Konno Mahiru,Endo Yuya","Crime,Drama,Family "," Criminal Male Lead,Death Of Girlfriend,Social Media,Ex-convict,Mafia,Death,Illness,Yakuza,Murder  ","Haruo is finally released from prison after completing his sentence. With nine years worth of prison gratuities in hand, he stops at a restaurant to enjoy a good meal, but all of his money ends up being stolen. With nothing left, he spends the night at a net cafe, and he manages to look up his old friend from his yakuza days. When Haruo visits the next day, he learns that his old girlfriend Mariko was living with another man, but later died of illness. Haruo, who had committed murder 9 years earlier to earn the money for Mariko's medical treatment, is shocked and angered. He decides to track down that other man, who runs a bakery with his wife and daughter Sachi. Haruo later runs into Sachi at the park, but he has yet to find out the truth about her.",https://i.mydramalist.com/V4mEEc.jpg?v=1,2977.0,144.0
1154,sparkle love,Drama,China,24.0,2020,7147,7.8,2367,"Zhang Ling He,Ling Mei Shi,Dai Yun Fan,Suo Lang Mei Qi,Fan Jin Wei,Ji Mei Han","Comedy,Romance,School,Youth,Fantasy "," College Life,Special Power,Swimming,Male Chases Female First,Height Difference,First Love,Love Triangle,Supportive Parents,High School To College,Steamy Kiss  ","An extraordinary girl meets the swimming legend with zero experience in romance. What will happen when one shock makes him fall in love with her at first sight? Mei Wei Wei is born with a natural frequency. When she's not paying attention, one look at her and guys can be electrified to the point of falling in love. It's a troublesome trait that Mei Wei Wei hid as she entered college since she wants to be ordinary just like everyone else.

 Things don't go as planned when everyone's ideal guy Mai Si Chong gets 'shocked' by her. He is a swimming legend, outgoing and bold yet sensitive. He makes his feelings known as he starts to pursue her relentlessly. When the sports hero who knows nothing about love suddenly falls head over heels in love, what kind of courting will ensue?",https://i.mydramalist.com/BNx8b_4c.jpg?v=1,31271.0,1104.0
1155,love is deep,Drama,China,40.0,2019,4635,7.8,1785,"Hu Yun Hao,Connie Kang,Justin Zhao,Arthur Su,Chang Long,Li Zheng Yang",Romance ," Nice Male Lead,Male Chases Female First,First Love,Dream,Father-Son Relationship,Second Chance,Doctor Male Lead,Cat,Obsessive-compulsive Disorder,Obsession  ","To like someone is to love lightly while to love someone is to like deeply. There is one person in this world and in this life whom you will love deeply. This is a realistic story of healing.
Zheng Ding Ding and her boyfriend Chen Xun have been dating for years. For the sake of love, she has on many occasions set aside her dream to design pet toys because she was wholly devoted to her boyfriend. When she realizes that he has not gotten over his ex-girlfriend, Zheng Ding Ding decides to give up on their unjust relationship. 
Surgeon Ning Wei Jin has readily stayed by Ding Ding's side as he encourages her to pursue her dreams. He has liked Ding Ding for some time but was rejected when he opened up about his feelings as she wanted to focus on her career. Ning Wei Jin doesn't give up and Ding Ding unwittingly begins to reciprocate a mutual attraction. However, problems with their work and family get in the way to test the couple as they fight for their love.",https://i.mydramalist.com/1pyjdc.jpg?v=1,23402.0,775.0
